hhid,persid,dayType,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,wasted_time
Y24H6150108,Y24H6150108P02,Weekday,vehicle passenger,15,2.92327,15.0,1009.777398687,melb - outer,greater melbourne,0.0
Y24H6150119,Y24H6150119P03,Weekday,vehicle passenger,10,1.58469,10.0,2703.517435335,melb - outer,greater melbourne,0.0
Y24H6150125,Y24H6150125P03,Weekday,school bus,49,26.74393,55.0,1503.224036016,melb - outer,greater melbourne,6.0
Y24H6150305,Y24H6150305P04,Weekday,school bus,26,6.44721,35.0,1148.822468167,melb - inner,greater melbourne,9.0
Y24H6150503,Y24H6150503P03,Weekday,walking,15,1.0169,15.0,1342.965363354,melb - outer,greater melbourne,0.0
Y24H6150503,Y24H6150503P04,Weekday,school bus,17,4.0184,20.0,575.536350456,melb - outer,greater melbourne,3.0
Y24H6156136,Y24H6156136P03,Weekday,vehicle passenger,4,2.22901,4.0,374.192953969,other,shepparton sa4,0.0
Y24H6156201,Y24H6156201P02,Weekday,vehicle passenger,3,1.16312,3.0,208.038465014,other,shepparton sa4,0.0
Y24H6156210,Y24H6156210P04,Weekday,vehicle passenger,6,0.61297,6.0,264.285604498,other,shepparton sa4,0.0
Y24H6156229,Y24H6156229P03,Weekday,vehicle passenger,5,1.70058,5.0,139.456911194,other,shepparton sa4,0.0
Y24H6160108,Y24H6160108P03,Weekday,school bus,14,10.54175,16.0,1715.994142825,melb - outer,greater melbourne,2.0
Y24H6160108,Y24H6160108P04,Weekday,vehicle passenger,10,8.32029,10.0,1188.351181427,melb - outer,greater melbourne,0.0
Y24H6160110,Y24H6160110P02,Weekday,public bus,130,47.57102,137.0,1207.996053889,melb - outer,greater melbourne,7.0
Y24H6160202,Y24H6160202P02,Weekday,vehicle driver,15,3.46627,15.0,867.871889261,melb - middle,greater melbourne,0.0
Y24H6160209,Y24H6160209P04,Weekday,vehicle passenger,21,10.94894,21.0,2145.631766,melb - middle,greater melbourne,0.0
Y24H6160215,Y24H6160215P03,Weekday,train,55,22.581830000000004,82.0,591.123747413,melb - middle,greater melbourne,27.0
Y24H6160215,Y24H6160215P04,Weekday,train,68,21.69878,95.0,1044.058983282,melb - middle,greater melbourne,27.0
Y24H6160233,Y24H6160233P01,Weekday,walking,30,2.42089,30.0,1032.104673765,melb - middle,greater melbourne,0.0
Y24H6160422,Y24H6160422P02,Weekday,vehicle passenger,7,2.49514,15.0,458.490737146,melb - outer,greater melbourne,8.0
Y24H6160436,Y24H6160436P02,Weekday,vehicle driver,55,23.6787,55.0,342.818442384,melb - outer,greater melbourne,0.0
Y24H6170105,Y24H6170105P04,Weekday,walking,25,1.75715,25.0,3605.375246362,melb - outer,greater melbourne,0.0
Y24H6170105,Y24H6170105P05,Weekday,walking,25,2.29423,25.0,1284.661229779,melb - outer,greater melbourne,0.0
Y24H6170105,Y24H6170105P06,Weekday,walking,25,2.29423,25.0,1761.451169644,melb - outer,greater melbourne,0.0
Y24H6170108,Y24H6170108P03,Weekday,vehicle passenger,7,2.34618,7.0,819.583290784,melb - outer,greater melbourne,0.0
Y24H6170123,Y24H6170123P02,Weekday,vehicle driver,29,19.55119,29.0,711.390669825,melb - outer,greater melbourne,0.0
Y24H6170124,Y24H6170124P03,Weekday,bicycle,8,0.40924,8.0,390.792145247,melb - outer,greater melbourne,0.0
Y24H6170124,Y24H6170124P04,Weekday,bicycle,8,0.40924,8.0,632.027270809,melb - outer,greater melbourne,0.0
Y24H6170131,Y24H6170131P04,Weekday,vehicle passenger,8,2.26957,8.0,724.674138957,melb - outer,greater melbourne,0.0
Y24H6170308,Y24H6170308P03,Weekday,vehicle passenger,12,2.33722,12.0,1131.538592352,melb - inner,greater melbourne,0.0
Y24H6170308,Y24H6170308P04,Weekday,vehicle passenger,8,2.55473,8.0,724.21818276,melb - inner,greater melbourne,0.0
Y24H6170308,Y24H6170308P05,Weekday,vehicle passenger,33,5.7481,34.0,1514.348384459,melb - inner,greater melbourne,1.0
Y24H6170319,Y24H6170319P03,Weekday,vehicle passenger,20,1.98633,20.0,391.75024632,melb - inner,greater melbourne,0.0
Y24H6170319,Y24H6170319P04,Weekday,vehicle passenger,20,1.98633,20.0,618.272350843,melb - inner,greater melbourne,0.0
Y24H6170424,Y24H6170424P01,Weekday,vehicle driver,25,7.19463,25.0,3992.832510045,melb - inner,greater melbourne,0.0
Y24H6170432,Y24H6170432P02,Weekday,tram,35,5.488079999999999,40.0,1640.446178259,melb - inner,greater melbourne,5.0
Y24H6170432,Y24H6170432P03,Weekday,bicycle,15,1.36764,15.0,503.339133673,melb - inner,greater melbourne,0.0
Y24H6170440,Y24H6170440P03,Weekday,walking,20,1.34336,20.0,1779.053264457,melb - inner,greater melbourne,0.0
Y24H6170440,Y24H6170440P04,Weekday,walking,20,1.34336,20.0,1779.053264457,melb - inner,greater melbourne,0.0
