dayType_journey,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS_journey,homeregion_ASGS_journey,wasted_time,num_stops,stop_category,group_travel_distance,journey_label,agegroup,sex,carlicence,mbikelicence,anywork,studying,mainact,persinc,anywfh,persinc_category,hhsize,dwelltype,owndwell,totalbikes,totalvehs,hhinc_group,hhinc_category
Weekend,vehicle driver,15,10.19929,15.0,557.399334596,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,35->39,Female,Full Licence,0,1,No Study,Full-time Work,800,No,medium,3,"Unit, Flat or Apartment",Being Rented,2,1,2500,medium
Weekday,vehicle driver,7,3.5212000000000003,15.0,415.461610925,melb - middle,greater melbourne,8.0,1,1 stop,0-10,1,50->54,Male,Full Licence,0,1,No Study,Full-time Work,800,No,medium,4,Separate House,Being Purchased,3,3,1750,medium
Weekday,vehicle driver,25,13.85428,25.0,414.578187518,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,45->49,Female,Full Licence,0,1,No Study,Part-time Work,800,Yes,medium,4,Separate House,Being Purchased,3,3,1750,medium
Weekday,vehicle driver,52,17.14449,52.0,302.994751815,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,60->64,Male,Full Licence,0,1,No Study,Full-time Work,3000,Yes,high,2,Terrace or Townhouse,Fully Owned,1,3,3500,medium
Weekday,vehicle driver,32,12.3182,45.0,774.170193573,melb - middle,greater melbourne,13.0,1,1 stop,10-20,1,40->44,Female,Full Licence,0,1,No Study,Full-time Work,3000,Yes,high,3,Separate House,Being Purchased,1,1,6000,high
Weekday,vehicle driver,30,18.33004,30.0,367.427058191,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,50->54,Male,Full Licence,0,1,No Study,Full-time Work,3000,Yes,high,2,Separate House,Fully Owned,1,2,3500,medium
Weekday,walking,80,3.60166,80.0,968.281097847,melb - middle,greater melbourne,0.0,0,0 stop,0-10,1,60->64,Female,Full Licence,0,1,No Study,Part-time Work,400,No,low,2,Separate House,Fully Owned,0,3,1500,low
Weekday,vehicle driver,38,40.82505,41.0,965.161559068,melb - outer,greater melbourne,3.0,1,1 stop,40+,1,50->54,Male,Full Licence,0,1,No Study,Full-time Work,1500,No,medium,3,Separate House,Being Purchased,3,3,4500,high
Weekday,vehicle driver,64,49.17357,64.0,1118.194292374,melb - outer,greater melbourne,0.0,0,0 stop,40+,1,45->49,Female,Full Licence,0,1,No Study,Full-time Work,1750,No,high,3,Separate House,Being Purchased,3,3,4500,high
Weekday,vehicle driver,89,35.50116,99.0,900.403300052,melb - outer,greater melbourne,10.0,1,1 stop,20-40,1,30->34,Male,Full Licence,0,1,No Study,Full-time Work,3000,Yes,high,6,Separate House,Fully Owned,3,2,6000,high
Weekday,train,68,27.35391,84.0,463.590462638,melb - outer,greater melbourne,16.0,3,3+ stops,20-40,1,40->44,Female,Full Licence,0,1,No Study,Full-time Work,2000,Yes,high,3,Separate House,Being Purchased,Missing/Refused,2,2500,medium
Weekday,motorcycle,35,27.62234,35.0,237.84710847,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,40->44,Male,Full Licence,1,1,No Study,Full-time Work,2000,Yes,high,4,Separate House,Fully Owned,2,2,3000,medium
